Area Type,Availability,Location,Size,Society,Total Sqft,Bathrooms,Balcony,Price,flag_status
Super Built-Up Area,18-Dec,Kudlu Gate,3 Bhk,Sanzaat,1564 - 1850,2.0,2.0,99.745,4
Super Built-Up Area,Ready To Move,Hagadur,2 Bhk,Ssoraba,1110,2.0,2.0,51.0,4
Plot Area,18-Apr,Popular Colony,2 Bedroom,Grrvagr,1300,2.0,0.0,54.0,4
Plot Area,Ready To Move,Vajarahalli,5 Bedroom,Grrvagr,600,3.0,1.0,86.0,4
Super Built-Up Area,18-Aug,Electronic City,2 Bhk,Prarkun,1128,2.0,1.0,65.35,4
Super Built-Up Area,22-May,Jakkur,2 Bhk,Soinec,1452.19,2.0,1.0,100.0,4
Plot Area,Ready To Move,8Th Block Koramangala,3 Bedroom,Grrvagr,2400,3.0,2.0,290.0,4
Super Built-Up Area,18-Jul,Banashankari,3 Bhk,Rallse,2600,4.0,1.0,135.0,4
Super Built-Up Area,Ready To Move,Sarakki Nagar,3 Bhk,Sowerew,2500,4.0,2.0,325.0,4
Built-Up Area,Ready To Move,Sanjay Nagar,2 Bhk,Grrvagr,630,1.0,1.0,35.0,0
Super Built-Up Area,Ready To Move,Hosa Road,2 Bhk,Grrvagr,1243,2.0,2.0,48.5,4
Built-Up Area,Ready To Move,Soundarya Layout,2 Bhk,Goe 3La,960,2.0,2.0,32.0,4
Super Built-Up Area,Ready To Move,"Banashankari 6Th Stage ,Subramanyapura",3 Bhk,Grrvagr,1690,3.0,2.0,100.0,4
Built-Up Area,Ready To Move,Whitefield,2 Bhk,Jahansa,735,2.0,1.0,35.0,4
Super Built-Up Area,Ready To Move,Banaswadi,2 Bhk,Grrvagr,1365,2.0,2.0,73.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,5 Bhk,Pumesim,2849,5.0,0.0,300.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Mahosya,1420,2.0,1.0,99.39,4
Super Built-Up Area,Ready To Move,Somasundara Palya,3 Bhk,Grrvagr,1570,3.0,3.0,68.0,4
Super Built-Up Area,Ready To Move,Bisuvanahalli,2 Bhk,Prityel,850,1.0,1.0,32.0,0
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Eladero,1575,2.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Thigalarapalya,2 Bhk,Prtanha,1418,2.0,2.0,104.0,4
Super Built-Up Area,Ready To Move,Uttarahalli,2 Bhk,Grrvagr,1050,2.0,1.0,42.0,4
Super Built-Up Area,Ready To Move,Hennur Road,2 Bhk,Gsides,1065,2.0,1.0,42.6,4
Built-Up Area,Ready To Move,Ulsoor,3 Bhk,Grrvagr,1340,3.0,0.0,90.0,4
Super Built-Up Area,Ready To Move,Yelahanka New Town,3 Bhk,Grrvagr,1610,3.0,2.0,92.0,4
Built-Up Area,18-Aug,Electronic City Phase Ii,2 Bhk,Sryalan,1160,2.0,1.0,33.5,4
Super Built-Up Area,Ready To Move,Kudlu,2 Bhk,Srrnasa,1092,2.0,2.0,44.0,4
Super Built-Up Area,Ready To Move,Yelahanka,3 Bhk,Apows M,1455,3.0,1.0,61.5,4
Super Built-Up Area,18-Jun,Abbigere,1 Bhk,Dsestma,734,1.0,0.0,19.82,0
Built-Up Area,Ready To Move,Samethanahalli,2 Bhk,Spontna,799,2.0,1.0,38.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Grrvagr,1896,3.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Ardendale,2 Bhk,Miwel M,1100,2.0,1.0,48.0,4
Built-Up Area,Ready To Move,Bellandur,2 Bhk,Grrvagr,1350,2.0,1.0,79.0,4
Super Built-Up Area,Ready To Move,Amarjyothi Colony,3 Bhk,Grrvagr,1355,3.0,1.0,61.0,4
Plot Area,Ready To Move,Pattanagere,2 Bedroom,Grrvagr,1350,2.0,0.0,90.0,4
Super Built-Up Area,Ready To Move,Cunningham Road,3 Bhk,Lelia M,3875,3.0,2.0,864.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,3 Bhk,Grrvagr,1493,3.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,8Th Phase Jp Nagar,2 Bhk,Mbodsen,1098,2.0,1.0,43.91,4
Super Built-Up Area,Ready To Move,Banashankari,3 Bhk,Grrvagr,1900,2.0,1.0,170.0,4
Super Built-Up Area,Ready To Move,Dollars Layout,3 Bhk,Sancya,1460,3.0,2.0,88.0,4
Super Built-Up Area,Ready To Move,Frazer Town,3 Bhk,Grrvagr,2350,4.0,3.0,285.0,4
Plot Area,Ready To Move,Horamavu Banaswadi,5 Bedroom,Grrvagr,1600,5.0,3.0,140.0,4
Super Built-Up Area,Ready To Move,Varthur,2 Bhk,Hirio L,1091,2.0,1.0,32.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Inurave,1180,2.0,3.0,42.0,4
Super Built-Up Area,19-Dec,Kanakpura Road,2 Bhk,Prityfa,1366,3.0,1.0,76.85,4
Super Built-Up Area,Ready To Move,Rmv Extension,3 Bhk,Dsuresi,1685,3.0,2.0,95.0,4
Built-Up Area,Ready To Move,Koramangala,2 Bhk,Gencysi,1260,2.0,3.0,100.0,4
Plot Area,Ready To Move,Whitefield,3 Bedroom,Chpana,3010,3.0,2.0,200.0,4
Plot Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,Grrvagr,1330,4.0,1.0,140.0,4
Plot Area,Ready To Move,Mallasandra,2 Bedroom,Grrvagr,1200,2.0,0.0,130.0,4
Super Built-Up Area,18-Apr,Whitefield,2 Bhk,Prtates,1346,2.0,1.0,96.17,4
Super Built-Up Area,18-Aug,Chandapura,1 Bhk,Dhowsyo,630,1.0,0.0,13.86,0
Super Built-Up Area,19-May,Sarjapur Road,3 Bhk,Klark L,1446 - 1506,2.0,2.0,98.94,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Brngsal,1850,3.0,2.0,140.0,4
Plot Area,Ready To Move,Frazer Town,5 Bedroom,Grrvagr,2350,2.0,0.0,423.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Gmown E,755,1.0,1.0,34.0,0
Plot Area,Ready To Move,Basaveshwara Nagar Yelahanka,5 Bedroom,Grrvagr,800,5.0,2.0,98.0,4
Super Built-Up Area,Ready To Move,Parappana Agrahara,2 Bhk,Peide L,1194,2.0,2.0,46.0,4
Super Built-Up Area,18-Feb,Whitefield,3 Bhk,Brlisco,3850,5.0,2.0,316.0,4
Super Built-Up Area,18-Jul,Hebbal,4 Bhk,Cehosy,4235,4.0,2.0,365.0,4
Plot Area,18-Apr,Kurubarahalli,1 Bedroom,Grrvagr,800,1.0,0.0,52.0,0
Super Built-Up Area,Ready To Move,Rachenahalli,3 Bhk,Leino C,2250,3.0,1.0,195.0,4
Super Built-Up Area,Ready To Move,Vijayanagar,2 Bhk,Rancy R,1352,2.0,2.0,68.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Soitya,2002,3.0,2.0,112.0,4
Plot Area,Ready To Move,Bileshivale,4 Bedroom,Feowsme,4000,5.0,1.0,280.0,4
Built-Up Area,Ready To Move,Kaval Byrasandra,2 Bhk,Kuncyre,1060,2.0,2.0,45.0,4
Super Built-Up Area,Ready To Move,Kanakpura Road,3 Bhk,Soapesu,1419.59,2.0,1.0,59.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1196,2.0,2.0,51.15,4
Built-Up Area,18-Dec,Electronic City,3 Bhk,Grrvagr,1220,2.0,2.0,35.24,4
Super Built-Up Area,18-Apr,Electronics City Phase 1,3 Bhk,Shitt S,1595,3.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Goeesem,1260,2.0,3.0,75.0,4
Super Built-Up Area,Ready To Move,Hebbal,2 Bhk,Grrvagr,1100,2.0,2.0,47.0,4
Super Built-Up Area,Ready To Move,Frazer Town,2 Bhk,Asneren,1550,2.0,2.0,140.0,4
Super Built-Up Area,Ready To Move,Isro Layout,2 Bhk,Grrvagr,1180,2.0,3.0,52.0,4
Plot Area,18-Dec,Electronic City,4 Bedroom,Janaala,4000,5.0,1.0,150.0,4
Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Dlhtsnd,1662,3.0,2.0,85.0,4
Plot Area,Ready To Move,Akshaya Nagar,4 Bedroom,Grrvagr,1080,4.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Ambedkar Nagar,3 Bhk,Soechha,1862,3.0,2.0,119.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Grrvagr,1419,2.0,2.0,48.0,4
Built-Up Area,14-Nov,Whitefield,3 Bhk,Grrvagr,1410,3.0,2.0,43.71,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,3 Bhk,Prrvapl,1560,2.0,2.0,62.4,4
Plot Area,Ready To Move,Chikkabettahalli,5 Bedroom,Grrvagr,1100,4.0,3.0,150.0,4
Super Built-Up Area,19-Nov,Thanisandra,3 Bhk,Bhe 2Ko,1634,3.0,3.0,78.0,4
Plot Area,Ready To Move,Ambedkar Nagar,5 Bedroom,Thessrm,5530,5.0,3.0,627.0,4
Built-Up Area,Ready To Move,Whitefield,3 Bhk,Grrvagr,1150,2.0,3.0,44.0,4
Super Built-Up Area,18-May,Ashirvad Colony,2 Bhk,Grrvagr,1100,2.0,2.0,53.0,4
Super Built-Up Area,19-Mar,Yelahanka,3 Bhk,Grrvagr,1616,3.0,1.0,65.0,4
Super Built-Up Area,17-Dec,Nagavarapalya,2 Bhk,Puonsse,1392,2.0,1.0,99.0,4
Super Built-Up Area,19-Dec,Jakkur,3 Bhk,Ceezey,1798,3.0,1.0,120.0,4
Super Built-Up Area,Ready To Move,Babusapalaya,3 Bhk,Veisear,1675,3.0,3.0,75.0,4
Plot Area,Ready To Move,Bhuvaneswari Nagar,2 Bedroom,Grrvagr,792,2.0,1.0,70.0,4
Super Built-Up Area,Ready To Move,Varanasi,5 Bhk,Grrvagr,2000,4.0,1.0,103.0,4
Built-Up Area,Ready To Move,Hongasandra,7 Bedroom,Grrvagr,600,7.0,3.0,89.0,4
Super Built-Up Area,19-Jun,Hebbal,3 Bhk,Raard B,1700,3.0,2.0,124.0,4
Super Built-Up Area,Ready To Move,Hulimavu,2 Bhk,Vandak,1248,2.0,1.0,69.0,4
Built-Up Area,Ready To Move,Kalkere,2 Bhk,Sanetra,1147,2.0,1.0,54.0,4
Super Built-Up Area,Ready To Move,Sultan Palaya,2 Bhk,Hintsap,1100,2.0,2.0,40.0,4
Super Built-Up Area,Ready To Move,Vijayanagar,3 Bhk,Rancy R,1527,3.0,2.0,115.0,4
Plot Area,Ready To Move,Shantiniketan Layout,5 Bedroom,Grrvagr,2400,5.0,2.0,235.0,4
Super Built-Up Area,21-Dec,Kanakpura Road,1 Bhk,Prarepa,525,1.0,1.0,25.0,0
Super Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Rohtshe,1100,2.0,3.0,58.0,4
Super Built-Up Area,17-Dec,Seegehalli,2 Bhk,Grrvagr,1118,2.0,2.0,37.5,4
Super Built-Up Area,20-Dec,Kanakapura,3 Bhk,Grrvagr,1476,3.0,1.0,75.0,4
Built-Up Area,Ready To Move,Gopal Reddy Layout,3 Bhk,Krestee,2100,3.0,1.0,75.0,4
Super Built-Up Area,18-Apr,Roopena Agrahara,3 Bhk,Grrvagr,1215,2.0,2.0,46.5,4
Super Built-Up Area,Ready To Move,Ambalipura,2 Bhk,Dimes E,1332,2.0,1.0,79.0,4
Super Built-Up Area,Ready To Move,Hennur Road,2 Bhk,Grrvagr,1350,2.0,3.0,49.0,4
Plot Area,Ready To Move,Kothannur,4 Bedroom,Grrvagr,600,4.0,1.0,81.0,4
Super Built-Up Area,Ready To Move,Ngr Layout,2 Bhk,Grrvagr,1105,2.0,2.0,49.73,4
Plot Area,Ready To Move,Padmanabhanagar,3 Bedroom,Grrvagr,1500,2.0,1.0,200.0,4
Super Built-Up Area,Ready To Move,Kasavanhalli,2 Bhk,Trensre,1200,2.0,2.0,50.0,4
Super Built-Up Area,18-Jun,Ramagondanahalli,2 Bhk,Viistla,1251,2.0,1.0,47.4,4
Super Built-Up Area,Ready To Move,Pai Layout,3 Bhk,Tencyes,1400,2.0,3.0,67.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Brway G,1800,3.0,3.0,260.0,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Soiniy,1703,3.0,2.0,113.0,4
Super Built-Up Area,Ready To Move,Nri Layout,5 Bhk,Grrvagr,2500,5.0,3.0,130.0,4
Super Built-Up Area,Ready To Move,Varthur,3 Bhk,Grrvagr,1250,3.0,2.0,71.0,4
Super Built-Up Area,Ready To Move,Jigani,2 Bhk,Dlhtsen,933,2.0,2.0,43.0,4
Plot Area,Ready To Move,Sankeswari,1 Bedroom,Grrvagr,461.82,1.0,1.0,31.7,0
Super Built-Up Area,Ready To Move,Brookefield,2 Bhk,Mapleer,1262,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Yelahanka,2 Bhk,Rarthne,915,2.0,2.0,48.0,4
Super Built-Up Area,Ready To Move,Panathur,3 Bhk,Saite G,1370,2.0,2.0,61.5,4
Super Built-Up Area,Ready To Move,Malleshpalya,2 Bhk,Shise P,1210,2.0,3.0,55.0,4
Super Built-Up Area,Ready To Move,Kodihalli,3 Bhk,Soianal,2392,4.0,2.0,260.0,4
Plot Area,18-Feb,T C Palya,3 Bedroom,Grrvagr,1500,2.0,0.0,85.0,4
Super Built-Up Area,Ready To Move,Govindraja Nagar,2 Bhk,Grrvagr,1065,2.0,3.0,50.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,4 Bhk,Grrvagr,3100,4.0,2.0,570.0,4
Super Built-Up Area,Ready To Move,Ramamurthy Nagar,3 Bhk,Grrvagr,1515,3.0,3.0,65.0,4
Plot Area,19-Dec,Sarjapura - Attibele Road,4 Bedroom,Grrvagr,1800,4.0,2.0,110.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Mnlam G,1445,2.0,3.0,40.31,4
Super Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Evood S,1300,2.0,1.0,55.0,4
Built-Up Area,Ready To Move,Vijayanagar,2 Bhk,Grrvagr,989,2.0,0.0,60.0,4
Super Built-Up Area,Ready To Move,Jakkur,2 Bhk,Hraniib,1300,2.0,1.0,85.0,4
Super Built-Up Area,18-Jul,Chandapura,3 Bhk,Suncees,1185,2.0,2.0,30.22,4
Plot Area,Ready To Move,Battarahalli,5 Bedroom,Grrvagr,1350,3.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Marathahalli,2 Bhk,Grrvagr,1045,2.0,3.0,60.0,4
Super Built-Up Area,18-Feb,Virat Nagar,2 Bhk,Grrvagr,1205,2.0,2.0,42.18,4
Super Built-Up Area,Ready To Move,Chennammanakere Achukattu,2 Bhk,Grrvagr,1260,2.0,1.0,75.0,4
Plot Area,Ready To Move,Devanahalli Road,5 Bedroom,Grrvagr,1320,5.0,2.0,199.0,4
Super Built-Up Area,Ready To Move,Ulsoor,3 Bhk,Grrvagr,1500,2.0,2.0,125.0,4
Super Built-Up Area,18-May,Bommanahalli,3 Bhk,Grrvagr,1250,2.0,2.0,42.5,4
Built-Up Area,18-Jul,"Maragondana Halli, Kr Puram, Old Madras Road",2 Bhk,Grrvagr,1199,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Hennur Road,2 Bhk,Maity W,1385,2.0,1.0,83.09,4
Plot Area,Ready To Move,Dhanalakshmi Layout,6 Bedroom,Grrvagr,1222,5.0,3.0,250.0,4
Super Built-Up Area,Ready To Move,Lakshminarayana Pura,2 Bhk,Rothava,1149,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Adeatlm,2180,3.0,2.0,170.0,4
Plot Area,Ready To Move,Tc Palaya,8 Bedroom,Grrvagr,1200,7.0,1.0,110.0,4
Super Built-Up Area,Ready To Move,Jp Nagar 8Th Phase .,10 Bhk,Grrvagr,12000,12.0,2.0,525.0,4
Plot Area,Ready To Move,Thurahalli,5 Bedroom,Jalot C,1200,5.0,0.0,195.0,4
Super Built-Up Area,Ready To Move,Hulimavu,3 Bhk,Niarkhy,1818,3.0,1.0,135.0,4
Super Built-Up Area,Ready To Move,Volagerekallahalli,2 Bhk,Grrvagr,1070,2.0,2.0,33.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,3 Bhk,Brway G,1640,3.0,2.0,241.0,4
Built-Up Area,Ready To Move,Nagarbhavi,3 Bhk,Dsesthr,1350,2.0,2.0,54.6,4
Built-Up Area,Ready To Move,Chandapura,2 Bhk,Grrvagr,630,1.0,1.0,27.0,0
Super Built-Up Area,22-Jun,Hoodi,2 Bhk,Goairej,1430,2.0,2.0,113.0,4
Super Built-Up Area,Ready To Move,Nagavara,3 Bhk,Grrvagr,2430,4.0,3.0,180.0,4
Plot Area,Ready To Move,Nobo Nagar,6 Bedroom,Grrvagr,1500,7.0,3.0,220.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,2 Bhk,Clell D,1084,2.0,3.0,55.0,4
Super Built-Up Area,Ready To Move,Hennur Road,3 Bhk,Koagati,1186,2.0,1.0,56.0,4
Built-Up Area,Ready To Move,Kengeri,2 Bhk,Vaens G,1255,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Haralur Road,4 Bhk,Soronsa,3400,5.0,3.0,240.0,4
Super Built-Up Area,18-Dec,Hosa Road,3 Bhk,Mahesr,1541,3.0,1.0,69.84,4
Super Built-Up Area,Ready To Move,Iblur Village,4 Bhk,Emine P,3596,5.0,1.0,282.0,4
Super Built-Up Area,Ready To Move,Raja Rajeshwari Nagar,2 Bhk,Naonysy,1295,2.0,2.0,70.0,4
Built-Up Area,Ready To Move,Sanjeevini Nagar,3 Bhk,Betatsi,2820,3.0,2.0,285.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Srncyre,1370,2.0,2.0,54.79,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Dsgmax,1100,2.0,1.0,40.0,4
Super Built-Up Area,18-Apr,Hebbal,4 Bhk,Emceske,4772,6.0,2.0,510.0,4
Super Built-Up Area,Ready To Move,Rajaji Nagar,2 Bhk,Brway G,1370,2.0,1.0,170.0,4
Super Built-Up Area,Ready To Move,7Th Phase Jp Nagar,3 Bhk,Grrvagr,1370,2.0,1.0,54.79,4
Super Built-Up Area,Ready To Move,Jp Nagar,2 Bhk,Dsillto,1200,2.0,2.0,62.0,4
Plot Area,Ready To Move,Gunjur,4 Bedroom,Grrvagr,2000,3.0,0.0,95.0,4
Built-Up Area,Ready To Move,9Th Phase Jp Nagar,4 Bhk,Imiteel,3500,4.0,2.0,300.0,4
Plot Area,Ready To Move,2Nd Stage Nagarbhavi,5 Bedroom,Grrvagr,1200,4.0,3.0,240.0,4
Plot Area,Ready To Move,Kengeri,4 Bedroom,Grrvagr,2400,5.0,2.0,253.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Grrvagr,1220,3.0,2.0,62.0,4
Built-Up Area,Ready To Move,Kanakapura Road,3 Bedroom,Grrvagr,1950,3.0,2.0,130.0,4
Super Built-Up Area,Ready To Move,Somasundara Palya,2 Bhk,Manceel,1178,2.0,3.0,73.0,4
Super Built-Up Area,Ready To Move,Dasanapura,3 Bhk,Tavenew,1286,3.0,2.0,61.44,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Dhalsh,1160,2.0,2.0,42.0,4
Super Built-Up Area,Ready To Move,Jigani,2 Bhk,Dlhtsan,918,2.0,2.0,55.0,4
Super Built-Up Area,21-Dec,Electronic City,3 Bhk,Konteit,1563,3.0,2.0,91.84,4
Super Built-Up Area,18-Nov,Govindpura,2 Bhk,Grrvagr,1326,2.0,1.0,62.17,4
Super Built-Up Area,Ready To Move,3Rd Block Jayanagar,3 Bhk,Grrvagr,1350,2.0,2.0,140.0,4
Super Built-Up Area,17-Dec,Hebbal,4 Bhk,Cehosy,3960,5.0,3.0,386.0,4
Super Built-Up Area,Ready To Move,Begur Road,2 Bhk,Grrvagr,1240,2.0,2.0,39.06,4
Super Built-Up Area,Ready To Move,Kaggadasapura,2 Bhk,Jaaldem,1325,2.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Sonnenahalli,2 Bhk,Whosone,1100,2.0,1.0,44.0,4
Super Built-Up Area,Ready To Move,Cunningham Road,3 Bhk,Lelia M,3875,3.0,2.0,800.0,4
Super Built-Up Area,Ready To Move,Gollarapalya Hosahalli,3 Bhk,Mauner,1605,3.0,2.0,50.0,4
Super Built-Up Area,Ready To Move,Hennur Road,5 Bhk,Grrvagr,5600,5.0,3.0,515.0,4
Super Built-Up Area,Ready To Move,Somasundara Palya,2 Bhk,Srhts P,1260,2.0,1.0,60.0,4
Super Built-Up Area,19-Dec,Hoodi,3 Bhk,Caycend,1553,3.0,2.0,83.09,4
Super Built-Up Area,Ready To Move,Whitefield,2 Bhk,Bmttaor,1280,2.0,2.0,52.0,4
Super Built-Up Area,Ready To Move,Hebbal,3 Bhk,Arade A,1550,2.0,2.0,75.0,4
Super Built-Up Area,Ready To Move,Arekere,3 Bhk,Grrvagr,1445,2.0,2.0,125.0,4
Super Built-Up Area,Ready To Move,Murugeshpalya,3 Bhk,Pintsap,1550,3.0,2.0,74.0,4
Super Built-Up Area,Ready To Move,Electronics City Phase 1,3 Bhk,Sndri N,1515,2.0,1.0,80.91,4
Super Built-Up Area,19-Mar,Hosa Road,3 Bhk,Skume R,1332,2.0,1.0,86.12,4
Super Built-Up Area,Ready To Move,Electronic City,3 Bhk,Briumri,1652,3.0,2.0,70.0,4
Super Built-Up Area,Ready To Move,Hegde Nagar,3 Bhk,Sonosty,1570,3.0,1.0,105.0,4
Plot Area,Ready To Move,Sarjapur Road,4 Bedroom,Adeatlm,5400,4.0,3.0,725.0,4
Super Built-Up Area,Ready To Move,Sector 2 Hsr Layout,1 Bhk,Dshtsow,794,1.0,1.0,60.0,0
Plot Area,Ready To Move,Seegehalli,3 Bedroom,Grrvagr,1200,2.0,0.0,62.0,4
Built-Up Area,Ready To Move,7Th Phase Jp Nagar,4 Bedroom,Rbrwayo,3600,3.0,2.0,410.0,4
Plot Area,Ready To Move,Hosakerehalli,3 Bedroom,Grrvagr,1200,3.0,2.0,175.0,4
Super Built-Up Area,Ready To Move,Jp Nagar,4 Bhk,Grrvagr,1650,3.0,1.0,220.0,4
Plot Area,Ready To Move,Chandra Layout,4 Bedroom,Grrvagr,600,2.0,1.0,85.0,4
Super Built-Up Area,Ready To Move,Hrbr Layout,3 Bhk,Vdenawa,2800,3.0,2.0,250.0,4
Super Built-Up Area,Ready To Move,Sarjapur Road,3 Bhk,Socushi,1750,3.0,2.0,110.0,4
Built-Up Area,Ready To Move,Hebbal,2 Bhk,Grrvagr,1053,2.0,1.0,48.0,4
Super Built-Up Area,Ready To Move,Kadubeesanahalli,3 Bhk,Srhan P,1665,3.0,3.0,70.0,4
Plot Area,Ready To Move,Outer Ring Road East,4 Bedroom,Prstate,4051,4.0,3.0,345.0,4
Plot Area,Ready To Move,Malleshwaram,4 Bedroom,Grrvagr,5500,5.0,1.0,1500.0,4
Built-Up Area,Ready To Move,Bommasandra,3 Bhk,Kbaleoy,1447,3.0,2.0,80.0,4
Built-Up Area,Ready To Move,Balagere,2 Bhk,Soresea,1012,2.0,1.0,75.0,4
Super Built-Up Area,Ready To Move,Malleshpalya,3 Bhk,Saestde,1900,3.0,2.0,60.0,4
Super Built-Up Area,Ready To Move,Narayanapura,2 Bhk,Arioshe,1308,2.0,2.0,92.66,4
Super Built-Up Area,Ready To Move,Green Glen Layout,4 Bhk,Grrvagr,3250,4.0,2.0,230.0,4
Super Built-Up Area,Ready To Move,Hormavu,1 Bhk,Grrvagr,1351,2.0,1.0,53.0,4
Super Built-Up Area,Ready To Move,Electronic City,2 Bhk,Grrvagr,1000,2.0,2.0,22.0,4
Plot Area,Ready To Move,J P Nagar 7Th Phase Ramayya City,4 Bedroom,Grrvagr,1200,4.0,2.0,350.0,4
Super Built-Up Area,18-Aug,Gunjur,2 Bhk,Bmineis,1140,2.0,2.0,49.11,4
Super Built-Up Area,22-May,Jakkur,4 Bhk,Soinec,2249.81 - 4112.19,4.0,0.0,260.5,4
Built-Up Area,Ready To Move,Uttarahalli,3 Bhk,Grrvagr,1250,2.0,1.0,55.0,4
Super Built-Up Area,Ready To Move,Kanakapura,3 Bhk,Spavenc,1290,3.0,3.0,45.15,4
Super Built-Up Area,Ready To Move,Garudachar Palya,3 Bhk,Grrvagr,1320,2.0,2.0,60.6,4
Built-Up Area,Ready To Move,Akshaya Nagar,3 Bhk,Dlhtsnd,1662,3.0,2.0,85.5,4
Super Built-Up Area,Ready To Move,Shanthala Nagar,5 Bhk,Kierser,8321,5.0,3.0,2700.0,4
Built-Up Area,Ready To Move,Koramangala,3 Bhk,Jalonht,1975,3.0,2.0,210.0,4
Super Built-Up Area,Ready To Move,Garudachar Palya,3 Bhk,Grrvagr,1295,2.0,2.0,59.5,4
Super Built-Up Area,Ready To Move,Battarahalli,3 Bhk,Paontwa,1777,3.0,2.0,100.0,4
Super Built-Up Area,18-Apr,Kadugodi,3 Bhk,Grrvagr,1900,3.0,2.0,108.0,4
Super Built-Up Area,17-Jul,Anandapura,3 Bhk,Viensrk,1576,3.0,2.0,59.1,4
Super Built-Up Area,Ready To Move,Sompura,2 Bhk,Grrvagr,1020,2.0,3.0,41.0,4
Super Built-Up Area,Ready To Move,Green Domain Layout,3 Bhk,Grrvagr,2100,3.0,3.0,170.0,4
Super Built-Up Area,18-Aug,Raja Rajeshwari Nagar,1 Bhk,Prllsan,648,1.0,1.0,31.75,0
Super Built-Up Area,Ready To Move,Neeladri Nagar,3 Bhk,Adingsv,1167,2.0,1.0,38.0,4
Plot Area,Ready To Move,Vyalikaval,7 Bedroom,Grrvagr,1000,7.0,3.0,160.0,4
Super Built-Up Area,Ready To Move,Hoodi,2 Bhk,Grrvagr,1220,2.0,2.0,50.89,4
Super Built-Up Area,Ready To Move,Kogilu,3 Bhk,Leora E,2350,5.0,1.0,327.0,4
Super Built-Up Area,Ready To Move,Vittasandra,2 Bhk,Grrvagr,1259,2.0,1.0,67.4,4
Built-Up Area,Ready To Move,Gottigere,4 Bedroom,Grrvagr,2000,4.0,2.0,82.0,4
Super Built-Up Area,Ready To Move,8Th Phase Jp Nagar,3 Bhk,Grrvagr,1800,3.0,1.0,80.0,4
Built-Up Area,Ready To Move,Cleveland Town,3 Bhk,Coner C,1991,3.0,2.0,160.0,4
Super Built-Up Area,Ready To Move,Bannerghatta,3 Bhk,Grrvagr,1665,3.0,3.0,110.0,4
Built-Up Area,20-Dec,"Hoodi Circle,",2 Bhk,Grrvagr,1234,2.0,1.0,61.0,4
Super Built-Up Area,Ready To Move,Mysore Road,3 Bhk,Grrvagr,1340,2.0,2.0,64.31,4
Super Built-Up Area,Ready To Move,Banashankari,2 Bhk,Grrvagr,1170,2.0,2.0,46.79,4
Built-Up Area,Ready To Move,Electronics City Phase 1,2 Bhk,Grrvagr,995,2.0,0.0,46.0,4
Super Built-Up Area,Ready To Move,Old Airport Road,2 Bhk,Grrvagr,1075,2.0,2.0,60.0,4
Super Built-Up Area,18-Apr,Electronic City,2 Bhk,Grrvagr,1025,2.0,1.0,54.5,4
Super Built-Up Area,Ready To Move,Rachenahalli,3 Bhk,Nrodsen,2721,3.0,2.0,113.0,4
Super Built-Up Area,Ready To Move,Thanisandra,3 Bhk,Bhmesy,2000,3.0,2.0,99.0,4
